feature,coefficient,abs_coefficient
age,1.8131107437356342,1.8131107437356342
work_type_children,-0.7971695709300425,0.7971695709300425
work_type_Private,0.3101835033359425,0.3101835033359425
work_type_Self-employed,0.27201040090072387,0.27201040090072387
avg_glucose_level,0.20104981394594332,0.20104981394594332
ever_married_Yes,0.17835213979441855,0.17835213979441855
smoking_status_never smoked,-0.16092114078634442,0.16092114078634442
heart_disease,0.14539069120193238,0.14539069120193238
bmi,-0.12066642932346502,0.12066642932346502
hypertension,0.09109585801567249,0.09109585801567249
Residence_type_Urban,0.06924761566813228,0.06924761566813228
gender_Male,0.05373594083800274,0.05373594083800274
